,,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,keypasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,goals,assists,cards,performance
3,,0,0,0,0,0,1,0,0,1,0,2,0,0,0,57,87.7,0,0,6,3,0,0,,,,6.79
"Leonardo Bonucci33, DC ",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0,0,0,0,1,0,0,0,3,0,2,1,3,0,46,91.3,0,0,5,3,0,0,,,,7.15
"Matthijs de Ligt21, DC ",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0,0,2,1,1,0,2,2,2,1,1,0,1,2,46,84.8,6,3,5,3,0,0,,1,,7.73
"Juan Cuadrado32, DMR  (84′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1,0,2,1,2,0,1,0,4,5,2,1,1,2,45,75.6,4,2,4,2,0,0,,,,8.45
"Alex Sandro29, DML  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0,0,0,1,0,0,1,0,4,0,1,0,0,0,52,90.4,0,0,2,2,0,0,,,,7.27
"Arthur24, MC  (70′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1,1,1,1,0,0,2,1,1,0,0,0,1,1,25,88,0,0,3,1,0,0,1,,,7.5
"Weston McKennie22, MC ",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1,0,0,0,0,0,1,4,3,4,0,0,3,0,41,80.5,0,0,5,3,0,0,,,,7.02
"Aaron Ramsey29, MC  (70′)",,,,,,,,,,,,,,,,,,,,,,,,,,1,
10,,4,3,1,0,1,0,0,0,0,1,0,0,0,1,42,85.7,0,0,2,1,0,0,,,,8.29
"Cristiano Ronaldo35, FW  (91′)",,,,,,,,,,,,,,,,,,,,,,,,2,,,
11,,1,0,1,1,3,0,4,2,0,1,0,0,1,1,24,70.8,2,0,2,1,0,0,,,,6.81
"Álvaro Morata28, FW  (84′)",,,,,,,,,,,,,,,,,,,,,,,,,,1,
12,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,75,0,0,1,1,0,0,,,,5.99
"Paulo Dybala27, Sub  (84′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,8,62.5,0,0,0,0,0,0,,,,6.53
"Adrien Rabiot25, Sub  (70′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,100,0,0,0,0,0,0,,,,6.11
"Federico Bernardeschi26, Sub  (84′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,6.03
"Federico Chiesa23, Sub  (91′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,0,0,0,0,1,0,0,1,2,0,0,0,0,0,6,66.7,0,0,5,3,0,0,,,,6.25
"Rodrigo Bentancur23, Sub  (70′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.25,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.79,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.15,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.73,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8.45,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.27,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.02,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8.29,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.81,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.99,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.53,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.11,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.03,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,
